collection_name,month,day,year,count,time
Azuki,1,12,2022,20659,1/12/2022
Azuki,1,13,2022,7100,1/13/2022
Azuki,1,14,2022,2638,1/14/2022
Azuki,1,15,2022,2292,1/15/2022
Azuki,1,16,2022,1939,1/16/2022
Azuki,1,17,2022,1697,1/17/2022
Azuki,1,18,2022,1784,1/18/2022
Azuki,1,19,2022,3152,1/19/2022
Azuki,1,20,2022,14897,1/20/2022
Azuki,1,21,2022,15375,1/21/2022
Azuki,1,22,2022,6094,1/22/2022
Azuki,1,23,2022,4354,1/23/2022
Azuki,1,24,2022,4169,1/24/2022
Azuki,1,25,2022,4819,1/25/2022
Azuki,1,26,2022,11017,1/26/2022
Azuki,1,27,2022,6588,1/27/2022
Azuki,1,28,2022,4501,1/28/2022
Azuki,1,29,2022,3207,1/29/2022
Azuki,1,30,2022,4071,1/30/2022
Azuki,1,31,2022,4474,1/31/2022
Azuki,2,1,2022,9176,2/1/2022
Azuki,2,2,2022,4705,2/2/2022
Azuki,2,3,2022,3448,2/3/2022
Azuki,2,4,2022,3379,2/4/2022
Azuki,2,5,2022,2380,2/5/2022
Azuki,2,6,2022,1846,2/6/2022
Azuki,2,7,2022,3544,2/7/2022
Azuki,2,8,2022,1876,2/8/2022
Azuki,2,9,2022,1840,2/9/2022
Azuki,2,10,2022,1832,2/10/2022
Azuki,2,11,2022,1715,2/11/2022
Azuki,2,12,2022,1561,2/12/2022
Azuki,2,13,2022,1892,2/13/2022
Azuki,2,14,2022,1807,2/14/2022
Azuki,2,15,2022,2897,2/15/2022
Azuki,2,16,2022,2274,2/16/2022
Azuki,2,17,2022,1727,2/17/2022
Azuki,2,18,2022,1208,2/18/2022
Azuki,2,19,2022,990,2/19/2022
Azuki,2,20,2022,1778,2/20/2022
Azuki,2,21,2022,1017,2/21/2022
Azuki,2,22,2022,1030,2/22/2022
Azuki,2,23,2022,1476,2/23/2022
Azuki,2,24,2022,1772,2/24/2022
Azuki,2,25,2022,1230,2/25/2022
Azuki,2,26,2022,1009,2/26/2022
Azuki,2,27,2022,1006,2/27/2022
Azuki,2,28,2022,948,2/28/2022
Azuki,3,1,2022,1081,3/1/2022
Azuki,3,2,2022,1220,3/2/2022
Azuki,3,3,2022,1563,3/3/2022
Azuki,3,4,2022,1255,3/4/2022
Azuki,3,5,2022,1017,3/5/2022
Azuki,3,6,2022,899,3/6/2022
Azuki,3,7,2022,947,3/7/2022
Azuki,3,8,2022,919,3/8/2022
Azuki,3,9,2022,756,3/9/2022
Azuki,3,10,2022,872,3/10/2022
Azuki,3,11,2022,741,3/11/2022
Azuki,3,12,2022,671,3/12/2022
Azuki,3,13,2022,554,3/13/2022
Azuki,3,14,2022,564,3/14/2022
Azuki,3,15,2022,596,3/15/2022
Azuki,3,16,2022,701,3/16/2022
Azuki,3,17,2022,887,3/17/2022
Azuki,3,18,2022,2735,3/18/2022
Azuki,3,19,2022,1324,3/19/2022
Azuki,3,20,2022,1230,3/20/2022
Azuki,3,21,2022,1107,3/21/2022
Azuki,3,22,2022,1257,3/22/2022
Azuki,3,23,2022,1343,3/23/2022
Azuki,3,24,2022,3923,3/24/2022
Azuki,3,25,2022,2052,3/25/2022
Azuki,3,26,2022,2177,3/26/2022
Azuki,3,27,2022,1942,3/27/2022
Azuki,3,28,2022,1379,3/28/2022
Azuki,3,29,2022,1397,3/29/2022
Azuki,3,30,2022,1330,3/30/2022
Azuki,3,31,2022,2116,3/31/2022
Azuki,4,1,2022,3297,4/1/2022
Azuki,4,2,2022,2584,4/2/2022
Azuki,4,3,2022,3544,4/3/2022
Azuki,4,4,2022,1111,4/4/2022
Azuki,4,5,2022,972,4/5/2022
Azuki,4,6,2022,861,4/6/2022
Azuki,4,7,2022,890,4/7/2022
Azuki,4,8,2022,733,4/8/2022
Azuki,4,9,2022,748,4/9/2022
Azuki,4,10,2022,881,4/10/2022
Azuki,4,11,2022,959,4/11/2022
Azuki,4,12,2022,927,4/12/2022
Azuki,4,13,2022,1674,4/13/2022
Azuki,4,14,2022,898,4/14/2022
Azuki,4,15,2022,807,4/15/2022
Azuki,4,16,2022,711,4/16/2022
Azuki,4,17,2022,1000,4/17/2022
Azuki,4,18,2022,1706,4/18/2022
Azuki,4,19,2022,855,4/19/2022
Azuki,4,20,2022,1161,4/20/2022
Azuki,4,21,2022,1196,4/21/2022
Azuki,4,22,2022,936,4/22/2022
Azuki,4,23,2022,889,4/23/2022
Azuki,4,24,2022,677,4/24/2022
Azuki,4,25,2022,915,4/25/2022
Azuki,4,26,2022,919,4/26/2022
Azuki,4,27,2022,689,4/27/2022
Azuki,4,28,2022,715,4/28/2022
Azuki,4,29,2022,571,4/29/2022
Azuki,4,30,2022,743,4/30/2022
Azuki,5,1,2022,1021,5/1/2022
Azuki,5,2,2022,1625,5/2/2022
Azuki,5,3,2022,1190,5/3/2022
Azuki,5,4,2022,6821,5/4/2022
Azuki,5,5,2022,840,5/5/2022
Azuki,5,6,2022,973,5/6/2022
Azuki,5,7,2022,6515,5/7/2022
Azuki,5,8,2022,921,5/8/2022
Azuki,5,9,2022,3119,5/9/2022
Azuki,5,10,2022,12641,5/10/2022
Azuki,5,11,2022,8606,5/11/2022
Azuki,5,12,2022,2643,5/12/2022
Azuki,5,13,2022,4100,5/13/2022
Azuki,5,14,2022,1864,5/14/2022
Azuki,5,15,2022,1589,5/15/2022
Azuki,5,16,2022,1153,5/16/2022
Azuki,5,17,2022,1026,5/17/2022
Azuki,5,18,2022,610,5/18/2022
Azuki,5,19,2022,720,5/19/2022
Azuki,5,20,2022,523,5/20/2022
Azuki,5,21,2022,571,5/21/2022
Azuki,5,22,2022,464,5/22/2022
Azuki,5,23,2022,404,5/23/2022
Azuki,5,24,2022,529,5/24/2022
