collection_name,count,time
Azuki,20659,1/12/22
Azuki,7100,1/13/22
Azuki,2638,1/14/22
Azuki,2292,1/15/22
Azuki,1939,1/16/22
Azuki,1697,1/17/22
Azuki,1784,1/18/22
Azuki,3152,1/19/22
Azuki,14897,1/20/22
Azuki,15375,1/21/22
Azuki,6094,1/22/22
Azuki,4354,1/23/22
Azuki,4169,1/24/22
Azuki,4819,1/25/22
Azuki,11017,1/26/22
Azuki,6588,1/27/22
Azuki,4501,1/28/22
Azuki,3207,1/29/22
Azuki,4071,1/30/22
Azuki,4474,1/31/22
Azuki,9176,2/1/22
Azuki,4705,2/2/22
Azuki,3448,2/3/22
Azuki,3379,2/4/22
Azuki,2380,2/5/22
Azuki,1846,2/6/22
Azuki,3544,2/7/22
Azuki,1876,2/8/22
Azuki,1840,2/9/22
Azuki,1832,2/10/22
Azuki,1715,2/11/22
Azuki,1561,2/12/22
Azuki,1892,2/13/22
Azuki,1807,2/14/22
Azuki,2897,2/15/22
Azuki,2274,2/16/22
Azuki,1727,2/17/22
Azuki,1208,2/18/22
Azuki,990,2/19/22
Azuki,1778,2/20/22
Azuki,1017,2/21/22
Azuki,1030,2/22/22
Azuki,1476,2/23/22
Azuki,1772,2/24/22
Azuki,1230,2/25/22
Azuki,1009,2/26/22
Azuki,1006,2/27/22
Azuki,948,2/28/22
Azuki,1081,3/1/22
Azuki,1220,3/2/22
Azuki,1563,3/3/22
Azuki,1255,3/4/22
Azuki,1017,3/5/22
Azuki,899,3/6/22
Azuki,947,3/7/22
Azuki,919,3/8/22
Azuki,756,3/9/22
Azuki,872,3/10/22
Azuki,741,3/11/22
Azuki,671,3/12/22
Azuki,554,3/13/22
Azuki,564,3/14/22
Azuki,596,3/15/22
Azuki,701,3/16/22
Azuki,887,3/17/22
Azuki,2735,3/18/22
Azuki,1324,3/19/22
Azuki,1230,3/20/22
Azuki,1107,3/21/22
Azuki,1257,3/22/22
Azuki,1343,3/23/22
Azuki,3923,3/24/22
Azuki,2052,3/25/22
Azuki,2177,3/26/22
Azuki,1942,3/27/22
Azuki,1379,3/28/22
Azuki,1397,3/29/22
Azuki,1330,3/30/22
Azuki,2116,3/31/22
Azuki,3297,4/1/22
Azuki,2584,4/2/22
Azuki,3544,4/3/22
Azuki,1111,4/4/22
Azuki,972,4/5/22
Azuki,861,4/6/22
Azuki,890,4/7/22
Azuki,733,4/8/22
Azuki,748,4/9/22
Azuki,881,4/10/22
Azuki,959,4/11/22
Azuki,927,4/12/22
Azuki,1674,4/13/22
Azuki,898,4/14/22
Azuki,807,4/15/22
Azuki,711,4/16/22
Azuki,1000,4/17/22
Azuki,1706,4/18/22
Azuki,855,4/19/22
Azuki,1161,4/20/22
Azuki,1196,4/21/22
Azuki,936,4/22/22
Azuki,889,4/23/22
Azuki,677,4/24/22
Azuki,915,4/25/22
Azuki,919,4/26/22
Azuki,689,4/27/22
Azuki,715,4/28/22
Azuki,571,4/29/22
Azuki,743,4/30/22
Azuki,1021,5/1/22
Azuki,1625,5/2/22
Azuki,1190,5/3/22
Azuki,6821,5/4/22
Azuki,840,5/5/22
Azuki,973,5/6/22
Azuki,6515,5/7/22
Azuki,921,5/8/22
Azuki,3119,5/9/22
Azuki,12641,5/10/22
Azuki,8606,5/11/22
Azuki,2643,5/12/22
Azuki,4100,5/13/22
Azuki,1864,5/14/22
Azuki,1589,5/15/22
Azuki,1153,5/16/22
Azuki,1026,5/17/22
Azuki,610,5/18/22
Azuki,720,5/19/22
Azuki,523,5/20/22
Azuki,571,5/21/22
Azuki,464,5/22/22
Azuki,404,5/23/22
Azuki,529,5/24/22
Azuki,399,5/25/22
Azuki,883,5/26/22
Azuki,793,5/27/22
Azuki,736,5/28/22
Azuki,503,5/29/22
Azuki,972,5/30/22
Azuki,531,5/31/22
Azuki,490,6/1/22
Azuki,349,6/2/22
Azuki,743,6/3/22
Azuki,332,6/4/22
Azuki,405,6/5/22
Azuki,311,6/6/22
Azuki,325,6/7/22
Azuki,264,6/8/22
Azuki,189,6/9/22
Azuki,463,6/10/22
Azuki,448,6/11/22
Azuki,502,6/12/22
Azuki,959,6/13/22
Azuki,520,6/14/22
Azuki,593,6/15/22
Azuki,584,6/16/22
Azuki,774,6/17/22
Bored Ape Yacht Club,1534,1/1/22
Bored Ape Yacht Club,1323,1/2/22
Bored Ape Yacht Club,1311,1/3/22
Bored Ape Yacht Club,898,1/4/22
Bored Ape Yacht Club,953,1/5/22
Bored Ape Yacht Club,737,1/6/22
Bored Ape Yacht Club,680,1/7/22
Bored Ape Yacht Club,652,1/8/22
Bored Ape Yacht Club,902,1/9/22
Bored Ape Yacht Club,871,1/10/22
Bored Ape Yacht Club,705,1/11/22
Bored Ape Yacht Club,624,1/12/22
Bored Ape Yacht Club,677,1/13/22
Bored Ape Yacht Club,597,1/14/22
Bored Ape Yacht Club,923,1/15/22
Bored Ape Yacht Club,741,1/16/22
Bored Ape Yacht Club,638,1/17/22
Bored Ape Yacht Club,601,1/18/22
Bored Ape Yacht Club,614,1/19/22
Bored Ape Yacht Club,673,1/20/22
Bored Ape Yacht Club,780,1/21/22
Bored Ape Yacht Club,605,1/22/22
Bored Ape Yacht Club,517,1/23/22
Bored Ape Yacht Club,843,1/24/22
Bored Ape Yacht Club,1088,1/25/22
Bored Ape Yacht Club,815,1/26/22
Bored Ape Yacht Club,944,1/27/22
Bored Ape Yacht Club,851,1/28/22
Bored Ape Yacht Club,1056,1/29/22
Bored Ape Yacht Club,1191,1/30/22
Bored Ape Yacht Club,1601,1/31/22
Bored Ape Yacht Club,958,2/1/22
Bored Ape Yacht Club,941,2/2/22
Bored Ape Yacht Club,664,2/3/22
Bored Ape Yacht Club,699,2/4/22
Bored Ape Yacht Club,716,2/5/22
Bored Ape Yacht Club,669,2/6/22
Bored Ape Yacht Club,746,2/7/22
Bored Ape Yacht Club,691,2/8/22
Bored Ape Yacht Club,717,2/9/22
Bored Ape Yacht Club,708,2/10/22
Bored Ape Yacht Club,564,2/11/22
Bored Ape Yacht Club,605,2/12/22
Bored Ape Yacht Club,643,2/13/22
Bored Ape Yacht Club,653,2/14/22
Bored Ape Yacht Club,670,2/15/22
Bored Ape Yacht Club,622,2/16/22
Bored Ape Yacht Club,760,2/17/22
Bored Ape Yacht Club,719,2/18/22
Bored Ape Yacht Club,698,2/19/22
Bored Ape Yacht Club,1151,2/20/22
Bored Ape Yacht Club,660,2/21/22
Bored Ape Yacht Club,775,2/22/22
Bored Ape Yacht Club,776,2/23/22
Bored Ape Yacht Club,1073,2/24/22
Bored Ape Yacht Club,974,2/25/22
Bored Ape Yacht Club,771,2/26/22
Bored Ape Yacht Club,737,2/27/22
Bored Ape Yacht Club,648,2/28/22
Bored Ape Yacht Club,740,3/1/22
Bored Ape Yacht Club,738,3/2/22
Bored Ape Yacht Club,681,3/3/22
Bored Ape Yacht Club,696,3/4/22
Bored Ape Yacht Club,601,3/5/22
Bored Ape Yacht Club,599,3/6/22
Bored Ape Yacht Club,917,3/7/22
Bored Ape Yacht Club,1172,3/8/22
Bored Ape Yacht Club,631,3/9/22
Bored Ape Yacht Club,603,3/10/22
Bored Ape Yacht Club,673,3/11/22
Bored Ape Yacht Club,886,3/12/22
Bored Ape Yacht Club,1017,3/13/22
Bored Ape Yacht Club,739,3/14/22
Bored Ape Yacht Club,754,3/15/22
Bored Ape Yacht Club,947,3/16/22
Bored Ape Yacht Club,2712,3/17/22
Bored Ape Yacht Club,1372,3/18/22
Bored Ape Yacht Club,1053,3/19/22
Bored Ape Yacht Club,925,3/20/22
Bored Ape Yacht Club,1686,3/21/22
Bored Ape Yacht Club,713,3/22/22
Bored Ape Yacht Club,669,3/23/22
Bored Ape Yacht Club,825,3/24/22
Bored Ape Yacht Club,705,3/25/22
Bored Ape Yacht Club,605,3/26/22
Bored Ape Yacht Club,746,3/27/22
Bored Ape Yacht Club,1212,3/28/22
Bored Ape Yacht Club,967,3/29/22
Bored Ape Yacht Club,644,3/30/22
Bored Ape Yacht Club,757,3/31/22
Bored Ape Yacht Club,683,4/1/22
Bored Ape Yacht Club,578,4/2/22
Bored Ape Yacht Club,1179,4/3/22
Bored Ape Yacht Club,610,4/4/22
Bored Ape Yacht Club,576,4/5/22
Bored Ape Yacht Club,529,4/6/22
Bored Ape Yacht Club,623,4/7/22
Bored Ape Yacht Club,577,4/8/22
Bored Ape Yacht Club,544,4/9/22
Bored Ape Yacht Club,536,4/10/22
Bored Ape Yacht Club,571,4/11/22
Bored Ape Yacht Club,537,4/12/22
Bored Ape Yacht Club,677,4/13/22
Bored Ape Yacht Club,540,4/14/22
Bored Ape Yacht Club,481,4/15/22
Bored Ape Yacht Club,519,4/16/22
Bored Ape Yacht Club,496,4/17/22
Bored Ape Yacht Club,887,4/18/22
Bored Ape Yacht Club,772,4/19/22
Bored Ape Yacht Club,757,4/20/22
Bored Ape Yacht Club,641,4/21/22
Bored Ape Yacht Club,30,4/22/21
Bored Ape Yacht Club,669,4/22/22
Bored Ape Yacht Club,37,4/23/21
Bored Ape Yacht Club,755,4/23/22
Bored Ape Yacht Club,53,4/24/21
Bored Ape Yacht Club,1122,4/24/22
Bored Ape Yacht Club,9,4/25/21
Bored Ape Yacht Club,1032,4/25/22
Bored Ape Yacht Club,74,4/26/21
Bored Ape Yacht Club,746,4/26/22
Bored Ape Yacht Club,47,4/27/21
Bored Ape Yacht Club,764,4/27/22
